# path	class	soname	elf_type
usr/lib/imlib2/filters/colormod.so	library	colormod.so	DYN (Shared object file)
usr/lib/imlib2/filters/testfilter.so	library	testfilter.so	DYN (Shared object file)
usr/lib/imlib2/loaders/argb.so	library	argb.so	DYN (Shared object file)
usr/lib/imlib2/loaders/bmp.so	library	bmp.so	DYN (Shared object file)
usr/lib/imlib2/loaders/bz2.so	library	bz2.so	DYN (Shared object file)
usr/lib/imlib2/loaders/ff.so	library	ff.so	DYN (Shared object file)
usr/lib/imlib2/loaders/gif.so	library	gif.so	DYN (Shared object file)
usr/lib/imlib2/loaders/ico.so	library	ico.so	DYN (Shared object file)
usr/lib/imlib2/loaders/id3.so	library	id3.so	DYN (Shared object file)
usr/lib/imlib2/loaders/jpeg.so	library	jpeg.so	DYN (Shared object file)
usr/lib/imlib2/loaders/lbm.so	library	lbm.so	DYN (Shared object file)
usr/lib/imlib2/loaders/png.so	library	png.so	DYN (Shared object file)
usr/lib/imlib2/loaders/pnm.so	library	pnm.so	DYN (Shared object file)
usr/lib/imlib2/loaders/tga.so	library	tga.so	DYN (Shared object file)
usr/lib/imlib2/loaders/tiff.so	library	tiff.so	DYN (Shared object file)
usr/lib/imlib2/loaders/xpm.so	library	xpm.so	DYN (Shared object file)
usr/lib/imlib2/loaders/zlib.so	library	zlib.so	DYN (Shared object file)
usr/lib/ld-2.31.so	library	ld-linux-armhf.so.3	DYN (Shared object file)
usr/lib/lftp/4.9.2/cmd-mirror.so	library	cmd-mirror.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/cmd-sleep.so	library	cmd-sleep.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/cmd-torrent.so	library	cmd-torrent.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/liblftp-network.so	library	liblftp-network.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/liblftp-pty.so	library	liblftp-pty.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/proto-file.so	library	proto-file.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/proto-fish.so	library	proto-fish.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/proto-ftp.so	library	proto-ftp.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/proto-http.so	library	proto-http.so	DYN (Shared object file)
usr/lib/lftp/4.9.2/proto-sftp.so	library	proto-sftp.so	DYN (Shared object file)
