# path	elf_type	interp	needed (comma-separated)
usr/lib/udev/libinput-fuzz-to-zero	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libudev.so.1
usr/lib/udev/mtd_probe	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/lib/udev/scsi_id	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libblkid.so.1,libc.so.6,libcrypto.so.1.1,libkmod.so.2,liblzma.so.5,libpthread.so.0,libz.so.1
usr/lib/udev/v4l_id	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libblkid.so.1,libc.so.6,libcrypto.so.1.1,libkmod.so.2,liblzma.so.5,libpthread.so.0,libz.so.1
usr/libexec/bluetooth/bluetoothd	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libdbus-1.so.3,libdl.so.2,libglib-2.0.so.0,libpthread.so.0,librt.so.1
usr/libexec/ctdb/ctdb-config	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb.so.1,libtevent-util.so.0,libtevent.so.0,libtime-basic-samba4.so
usr/libexec/ctdb/ctdb-event	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libctdb-event-client-samba4.so,libpthread.so.0,libsamba-debug-samba4.so,libtalloc.so.2,libtevent.so.0
usr/libexec/ctdb/ctdb-eventd	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libiov-buf-samba4.so,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb.so.1,libtevent-util.so.0,libtevent.so.0,libtime-basic-samba4.so
usr/libexec/ctdb/ctdb-path	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb.so.1,libtevent-util.so.0,libtevent.so.0,libtime-basic-samba4.so
usr/libexec/ctdb/ctdb_killtcp	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb.so.1,libtevent-util.so.0,libtevent.so.0,libtime-basic-samba4.so
usr/libexec/ctdb/ctdb_lock_helper	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb.so.1,libtevent-util.so.0,libtevent.so.0
usr/libexec/ctdb/ctdb_mutex_fcntl_helper	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtevent-util.so.0,libtevent.so.0
usr/libexec/ctdb/ctdb_recovery_helper	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb-wrap-samba4.so,libtdb.so.1,libtevent-util.so.0,libtevent.so.0,libtime-basic-samba4.so
usr/libexec/ctdb/ctdb_takeover_helper	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsocket-blocking-samba4.so,libsys-rw-samba4.so,libtalloc.so.2,libtdb-wrap-samba4.so,libtdb.so.1,libtevent-util.so.0,libtevent.so.0,libtime-basic-samba4.so
usr/libexec/ctdb/smnotify	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt.so.0
usr/libexec/dbus-daemon-launch-helper	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libdbus-1.so.3,libexpat.so.1,libpthread.so.0
usr/libexec/frcode	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/libexec/libinput/libinput-analyze	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/libinput/libinput-debug-events	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/libinput/libinput-debug-tablet	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/libinput/libinput-list-devices	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/libinput/libinput-measure	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/libinput/libinput-quirks	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/libinput/libinput-record	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libinput.so.10,libudev.so.1
usr/libexec/lzo/examples/lzopack	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,liblzo2.so.2
usr/libexec/lzo/examples/lzotest	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,liblzo2.so.2
usr/libexec/lzo/examples/simple	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,liblzo2.so.2
usr/libexec/lzo/examples/testmini	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/libexec/mc/cons.saver	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libutil.so.1
usr/libexec/sftp-server	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/libexec/ssh-keysign	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/libexec/ssh-pkcs11-helper	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/libexec/xkbcommon/xkbcli-compile-keymap	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libxkbcommon.so.0
usr/libexec/xkbcommon/xkbcli-how-to-type	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libxkbcommon.so.0
